old;Height;Time;;;dom_w_deg;Height;Time;
1;8;0;VERO;;1;8;0;VERO
2;9;0;VERO;;2;9;0;VERO
3;10;0;VERO;;3;10;0.0002;VERO
4;11;0.001;VERO;;4;11;0.0002;VERO
5;12;0.001;VERO;;5;12;0.001;VERO
6;13;0.001;VERO;;6;13;0.001;VERO
7;14;0.001;VERO;;7;14;0.001;VERO
8;15;0.001;VERO;;8;15;0.0024;VERO
9;16;0.002;VERO;;9;16;0.0022;VERO
10;17;0.0042;VERO;;10;17;0.01;VERO
11;19;299.744;FALSO;;11;18;0.9012;VERO
12;19;0.4768;VERO;;12;19;0.0068;VERO
13;20;0.0042;VERO;;13;20;39.9676;VERO
14;21;0.0362;VERO;;14;21;0.4324;VERO
15;22;14.155;VERO;;15;22;0.052;VERO
16;23;0.3316;VERO;;16;24;299.772;FALSO
17;24;0.361;VERO;;17;24;47.3596;VERO
18;43;299.738;FALSO;;18;25;4.4348;VERO
19;26;12.9592;VERO;;19;27;299.722;FALSO
20;42;299.705;FALSO;;20;28;299.725;FALSO
21;42;299.655;FALSO;;21;28;67.7749996;VERO
22;29;8.3355998;VERO;;22;30;299.713;FALSO
23;30;0.035;VERO;;23;31;299.719;FALSO
24;31;143.5272;VERO;;24;31;267.767999;VERO
25;62;299.725;FALSO;;25;33;299.738;FALSO
26;62;299.658;FALSO;;26;33;2.7452;VERO
27;66;299.728;FALSO;;27;35;299.727;FALSO
28;36;299.729;FALSO;;28;36;299.713;FALSO
29;37;299.669;FALSO;;29;0;300;FALSO
30;71;299.683;FALSO;;30;38;299.703;FALSO
31;58;299.683;FALSO;;31;41;299.716;FALSO
32;0;300;FALSO;;32;40;299.708;FALSO
33;41;299.686;FALSO;;33;42;299.722;FALSO
34;0;300;FALSO;;34;41;299.725;FALSO
35;0;300;FALSO;;35;42;299.723;FALSO
36;0;300;FALSO;;36;42;299.711;FALSO
37;66;299.743;FALSO;;37;65;299.722;FALSO
38;62;299.678;FALSO;;38;0;300;FALSO
39;63;299.715;FALSO;;39;62;299.683;FALSO
40;0;300;FALSO;;40;0;300;FALSO
