,Instance,Height,Time,Run
0,1.0,8.0,0.005,0.0
1,1.0,8.0,0.0,1.0
2,1.0,8.0,0.0,2.0
3,1.0,8.0,0.0,3.0
4,1.0,8.0,0.0,4.0
5,1.0,,0.001,
6,2.0,9.0,0.001,0.0
7,2.0,9.0,0.001,1.0
8,2.0,9.0,0.001,2.0
9,2.0,9.0,0.001,3.0
10,2.0,9.0,0.0,4.0
11,2.0,,0.0008,
12,3.0,10.0,0.003,0.0
13,3.0,10.0,0.002,1.0
14,3.0,10.0,0.001,2.0
15,3.0,10.0,0.001,3.0
16,3.0,10.0,0.001,4.0
17,3.0,,0.0016,
18,4.0,11.0,0.005,0.0
19,4.0,11.0,0.004,1.0
20,4.0,11.0,0.004,2.0
21,4.0,11.0,0.003,3.0
22,4.0,11.0,0.003,4.0
23,4.0,,0.0038,
24,5.0,12.0,0.003,0.0
25,5.0,12.0,0.002,1.0
26,5.0,12.0,0.003,2.0
27,5.0,12.0,0.003,3.0
28,5.0,12.0,0.003,4.0
29,5.0,,0.0027999999999999995,
30,6.0,13.0,0.028,0.0
31,6.0,13.0,0.029,1.0
32,6.0,13.0,0.028,2.0
33,6.0,13.0,0.027,3.0
34,6.0,13.0,0.028,4.0
35,6.0,,0.028000000000000004,
36,7.0,14.0,0.245,0.0
37,7.0,14.0,0.248,1.0
38,7.0,14.0,0.248,2.0
39,7.0,14.0,0.251,3.0
40,7.0,14.0,0.245,4.0
41,7.0,,0.2474,
42,8.0,15.0,0.006,0.0
43,8.0,15.0,0.006,1.0
44,8.0,15.0,0.007,2.0
45,8.0,15.0,0.006,3.0
46,8.0,15.0,0.007,4.0
47,8.0,,0.0064,
48,9.0,16.0,0.071,0.0
49,9.0,16.0,0.069,1.0
50,9.0,16.0,0.073,2.0
51,9.0,16.0,0.069,3.0
52,9.0,16.0,0.072,4.0
53,9.0,,0.0708,
54,10.0,0.0,300.0,0.0
55,10.0,,300.0,
56,11.0,19.0,299.68,0.0
57,11.0,,299.68,
58,12.0,19.0,6.933,0.0
59,12.0,19.0,6.542,1.0
60,12.0,19.0,6.565,2.0
61,12.0,19.0,6.595,3.0
62,12.0,19.0,6.558,4.0
63,12.0,,6.638599999999999,
64,13.0,0.0,300.0,0.0
65,13.0,,300.0,
66,14.0,21.0,73.784,0.0
67,14.0,21.0,75.875,1.0
68,14.0,21.0,73.717,2.0
69,14.0,21.0,74.522,3.0
70,14.0,21.0,76.155,4.0
71,14.0,,74.8106,
72,15.0,22.0,219.827,0.0
73,15.0,,219.827,
74,16.0,0.0,300.0,0.0
75,16.0,,300.0,
76,17.0,25.0,299.665,0.0
77,17.0,,299.665,
78,18.0,27.0,299.675,0.0
79,18.0,,299.675,
80,19.0,0.0,300.0,0.0
81,19.0,,300.0,
82,20.0,29.0,299.637,0.0
83,20.0,,299.637,
84,21.0,49.0,299.628,0.0
85,21.0,,299.628,
86,22.0,0.0,300.0,0.0
87,22.0,,300.0,
88,23.0,33.0,299.655,0.0
89,23.0,,299.655,
90,24.0,0.0,300.0,0.0
91,24.0,,300.0,
92,25.0,0.0,300.0,0.0
93,25.0,,300.0,
94,26.0,51.0,299.586,0.0
95,26.0,,299.586,
96,27.0,37.0,299.567,0.0
97,27.0,,299.567,
98,28.0,65.0,299.559,0.0
99,28.0,,299.559,
100,29.0,0.0,300.0,0.0
101,29.0,,300.0,
102,30.0,62.0,299.497,0.0
103,30.0,,299.497,
104,31.0,0.0,300.0,0.0
105,31.0,,300.0,
106,32.0,0.0,300.0,0.0
107,32.0,,300.0,
108,33.0,72.0,299.595,0.0
109,33.0,,299.595,
110,34.0,0.0,300.0,0.0
111,34.0,,300.0,
112,35.0,0.0,300.0,0.0
113,35.0,,300.0,
114,36.0,0.0,300.0,0.0
115,36.0,,300.0,
116,37.0,0.0,300.0,0.0
117,37.0,,300.0,
118,38.0,0.0,300.0,0.0
119,38.0,,300.0,
120,39.0,0.0,300.0,0.0
121,39.0,,300.0,
122,40.0,0.0,300.0,0.0
123,40.0,,300.0,
