,Instance,Height,Time,Run
0,1.0,8.0,0.0,0.0
1,1.0,8.0,0.001,1.0
2,1.0,8.0,0.001,2.0
3,1.0,8.0,0.001,3.0
4,1.0,8.0,0.001,4.0
5,1.0,,0.0008,
6,2.0,9.0,0.0,0.0
7,2.0,9.0,0.0,1.0
8,2.0,9.0,0.0,2.0
9,2.0,9.0,0.001,3.0
10,2.0,9.0,0.0,4.0
11,2.0,,0.0002,
12,3.0,10.0,0.0,0.0
13,3.0,10.0,0.0,1.0
14,3.0,10.0,0.001,2.0
15,3.0,10.0,0.001,3.0
16,3.0,10.0,0.001,4.0
17,3.0,,0.0006,
18,4.0,11.0,0.0,0.0
19,4.0,11.0,0.0,1.0
20,4.0,11.0,0.0,2.0
21,4.0,11.0,0.0,3.0
22,4.0,11.0,0.001,4.0
23,4.0,,0.0002,
24,5.0,12.0,0.0,0.0
25,5.0,12.0,0.0,1.0
26,5.0,12.0,0.0,2.0
27,5.0,12.0,0.0,3.0
28,5.0,12.0,0.001,4.0
29,5.0,,0.0002,
30,6.0,13.0,0.002,0.0
31,6.0,13.0,0.002,1.0
32,6.0,13.0,0.002,2.0
33,6.0,13.0,0.002,3.0
34,6.0,13.0,0.001,4.0
35,6.0,,0.0018,
36,7.0,14.0,0.001,0.0
37,7.0,14.0,0.001,1.0
38,7.0,14.0,0.001,2.0
39,7.0,14.0,0.002,3.0
40,7.0,14.0,0.001,4.0
41,7.0,,0.0012,
42,8.0,15.0,0.001,0.0
43,8.0,15.0,0.001,1.0
44,8.0,15.0,0.001,2.0
45,8.0,15.0,0.001,3.0
46,8.0,15.0,0.001,4.0
47,8.0,,0.001,
48,9.0,16.0,0.002,0.0
49,9.0,16.0,0.002,1.0
50,9.0,16.0,0.002,2.0
51,9.0,16.0,0.002,3.0
52,9.0,16.0,0.002,4.0
53,9.0,,0.002,
54,10.0,17.0,0.007,0.0
55,10.0,17.0,0.007,1.0
56,10.0,17.0,0.006,2.0
57,10.0,17.0,0.006,3.0
58,10.0,17.0,0.006,4.0
59,10.0,,0.0064,
60,11.0,18.0,0.195,0.0
61,11.0,18.0,0.197,1.0
62,11.0,18.0,0.193,2.0
63,11.0,18.0,0.195,3.0
64,11.0,18.0,0.193,4.0
65,11.0,,0.1946,
66,12.0,19.0,0.027,0.0
67,12.0,19.0,0.025,1.0
68,12.0,19.0,0.026,2.0
69,12.0,19.0,0.026,3.0
70,12.0,19.0,0.026,4.0
71,12.0,,0.026,
72,13.0,20.0,0.007,0.0
73,13.0,20.0,0.006,1.0
74,13.0,20.0,0.007,2.0
75,13.0,20.0,0.007,3.0
76,13.0,20.0,0.007,4.0
77,13.0,,0.0068,
78,14.0,21.0,0.025,0.0
79,14.0,21.0,0.025,1.0
80,14.0,21.0,0.025,2.0
81,14.0,21.0,0.025,3.0
82,14.0,21.0,0.025,4.0
83,14.0,,0.025,
84,15.0,22.0,0.033,0.0
85,15.0,22.0,0.032,1.0
86,15.0,22.0,0.034,2.0
87,15.0,22.0,0.034,3.0
88,15.0,22.0,0.033,4.0
89,15.0,,0.0332,
90,16.0,23.0,0.556,0.0
91,16.0,23.0,0.536,1.0
92,16.0,23.0,0.555,2.0
93,16.0,23.0,0.547,3.0
94,16.0,23.0,0.543,4.0
95,16.0,,0.5474000000000001,
96,17.0,24.0,0.121,0.0
97,17.0,24.0,0.124,1.0
98,17.0,24.0,0.122,2.0
99,17.0,24.0,0.123,3.0
100,17.0,24.0,0.122,4.0
101,17.0,,0.1224,
102,18.0,25.0,1.012,0.0
103,18.0,25.0,1.026999,1.0
104,18.0,25.0,1.014,2.0
105,18.0,25.0,1.012,3.0
106,18.0,25.0,1.006,4.0
107,18.0,,1.0141998,
108,19.0,26.0,12.958,0.0
109,19.0,26.0,12.865,1.0
110,19.0,26.0,13.343,2.0
111,19.0,26.0,12.93,3.0
112,19.0,26.0,13.157,4.0
113,19.0,,13.0506,
114,20.0,27.0,0.527,0.0
115,20.0,27.0,0.522,1.0
116,20.0,27.0,0.532,2.0
117,20.0,27.0,0.518,3.0
118,20.0,27.0,0.518,4.0
119,20.0,,0.5234,
120,21.0,28.0,0.851,0.0
121,21.0,28.0,0.835,1.0
122,21.0,28.0,0.842,2.0
123,21.0,28.0,0.834,3.0
124,21.0,28.0,0.831,4.0
125,21.0,,0.8385999999999999,
126,22.0,29.0,92.722,0.0
127,22.0,29.0,92.516,1.0
128,22.0,29.0,93.41,2.0
129,22.0,29.0,94.146,3.0
130,22.0,29.0,100.341,4.0
131,22.0,,94.627,
132,23.0,30.0,0.194,0.0
133,23.0,30.0,0.198,1.0
134,23.0,30.0,0.199,2.0
135,23.0,30.0,0.193,3.0
136,23.0,30.0,0.195,4.0
137,23.0,,0.1958,
138,24.0,31.0,0.123,0.0
139,24.0,31.0,0.12,1.0
140,24.0,31.0,0.121,2.0
141,24.0,31.0,0.12,3.0
142,24.0,31.0,0.119,4.0
143,24.0,,0.1206,
144,25.0,32.0,2.212,0.0
145,25.0,32.0,2.154,1.0
146,25.0,32.0,2.148,2.0
147,25.0,32.0,2.125,3.0
148,25.0,32.0,2.148,4.0
