,Instance,Height,Time,Run
0,1.0,8.0,0.0,0.0
1,1.0,8.0,0.001,1.0
2,1.0,8.0,0.001,2.0
3,1.0,8.0,0.0,3.0
4,1.0,8.0,0.0,4.0
5,1.0,,0.0004,
6,2.0,9.0,0.002,0.0
7,2.0,9.0,0.001,1.0
8,2.0,9.0,0.002,2.0
9,2.0,9.0,0.002,3.0
10,2.0,9.0,0.002,4.0
11,2.0,,0.0018,
12,3.0,10.0,0.002,0.0
13,3.0,10.0,0.002,1.0
14,3.0,10.0,0.002,2.0
15,3.0,10.0,0.002,3.0
16,3.0,10.0,0.002,4.0
17,3.0,,0.002,
18,4.0,11.0,0.006,0.0
19,4.0,11.0,0.005,1.0
20,4.0,11.0,0.005,2.0
21,4.0,11.0,0.006,3.0
22,4.0,11.0,0.005,4.0
23,4.0,,0.0054,
24,5.0,12.0,0.037,0.0
25,5.0,12.0,0.037,1.0
26,5.0,12.0,0.036,2.0
27,5.0,12.0,0.036,3.0
28,5.0,12.0,0.038,4.0
29,5.0,,0.0368,
30,6.0,13.0,0.012,0.0
31,6.0,13.0,0.012,1.0
32,6.0,13.0,0.012,2.0
33,6.0,13.0,0.013,3.0
34,6.0,13.0,0.012,4.0
35,6.0,,0.0121999999999999,
36,7.0,14.0,0.019,0.0
37,7.0,14.0,0.02,1.0
38,7.0,14.0,0.019,2.0
39,7.0,14.0,0.02,3.0
40,7.0,14.0,0.019,4.0
41,7.0,,0.0194,
42,8.0,15.0,0.046,0.0
43,8.0,15.0,0.045,1.0
44,8.0,15.0,0.044,2.0
45,8.0,15.0,0.045,3.0
46,8.0,15.0,0.045,4.0
47,8.0,,0.045,
48,9.0,16.0,0.026,0.0
49,9.0,16.0,0.026,1.0
50,9.0,16.0,0.026,2.0
51,9.0,16.0,0.026,3.0
52,9.0,16.0,0.026,4.0
53,9.0,,0.026,
54,10.0,17.0,0.095,0.0
55,10.0,17.0,0.091,1.0
56,10.0,17.0,0.092,2.0
57,10.0,17.0,0.095,3.0
58,10.0,17.0,0.091,4.0
59,10.0,,0.0928,
60,11.0,18.0,3.193,0.0
61,11.0,18.0,3.196,1.0
62,11.0,18.0,3.222,2.0
63,11.0,18.0,3.231,3.0
64,11.0,18.0,3.19,4.0
65,11.0,,3.2064,
66,12.0,19.0,0.238,0.0
67,12.0,19.0,0.233,1.0
68,12.0,19.0,0.239,2.0
69,12.0,19.0,0.229,3.0
70,12.0,19.0,0.24,4.0
71,12.0,,0.2357999999999999,
72,13.0,20.0,0.15,0.0
73,13.0,20.0,0.151,1.0
74,13.0,20.0,0.15,2.0
75,13.0,20.0,0.15,3.0
76,13.0,20.0,0.15,4.0
77,13.0,,0.1502,
78,14.0,21.0,0.404,0.0
79,14.0,21.0,0.397,1.0
80,14.0,21.0,0.395,2.0
81,14.0,21.0,0.401,3.0
82,14.0,21.0,0.387,4.0
83,14.0,,0.3968,
84,15.0,22.0,0.182,0.0
85,15.0,22.0,0.17,1.0
86,15.0,22.0,0.171,2.0
87,15.0,22.0,0.168,3.0
88,15.0,22.0,0.168,4.0
89,15.0,,0.1718,
90,16.0,23.0,2.697,0.0
91,16.0,23.0,2.759,1.0
92,16.0,23.0,2.701,2.0
93,16.0,23.0,2.697,3.0
94,16.0,23.0,2.707,4.0
95,16.0,,2.7122,
96,17.0,24.0,7.31,0.0
97,17.0,24.0,7.209,1.0
98,17.0,24.0,7.297,2.0
99,17.0,24.0,7.225,3.0
100,17.0,24.0,7.308,4.0
101,17.0,,7.269799999999999,
102,18.0,25.0,9.033,0.0
103,18.0,25.0,9.1,1.0
104,18.0,25.0,10.465,2.0
105,18.0,25.0,9.04,3.0
106,18.0,25.0,8.989,4.0
107,18.0,,9.325399999999998,
108,19.0,26.0,14.645,0.0
109,19.0,26.0,14.951,1.0
110,19.0,26.0,15.025,2.0
111,19.0,26.0,16.036999,3.0
112,19.0,26.0,16.071,4.0
113,19.0,,15.3457998,
114,20.0,27.0,29.888,0.0
115,20.0,27.0,30.383,1.0
116,20.0,27.0,29.239,2.0
117,20.0,27.0,29.59,3.0
118,20.0,27.0,29.604,4.0
119,20.0,,29.7408,
120,21.0,28.0,173.446,0.0
121,21.0,28.0,173.234,1.0
122,21.0,28.0,170.756,2.0
123,21.0,28.0,169.01,3.0
124,21.0,28.0,171.004,4.0
125,21.0,,171.49,
126,22.0,29.0,225.545,0.0
127,22.0,29.0,216.657,1.0
128,22.0,29.0,217.987,2.0
129,22.0,29.0,213.7,3.0
130,22.0,29.0,212.184,4.0
131,22.0,,217.2146,
132,23.0,30.0,3.552,0.0
133,23.0,30.0,3.534,1.0
134,23.0,30.0,3.517,2.0
135,23.0,30.0,3.552,3.0
136,23.0,30.0,3.522,4.0
137,23.0,,3.5354,
138,24.0,31.0,7.554,0.0
139,24.0,31.0,7.509,1.0
140,24.0,31.0,7.571,2.0
141,24.0,31.0,7.679,3.0
142,24.0,31.0,7.578,4.0
143,24.0,,7.578200000000001,
144,25.0,32.0,215.171,0.0
145,25.0,32.0,216.103,1.0
146,25.0,32.0,212.673,2.0
147,25.0,32.0,214.353,3.0
