;Instance;Height;Time;Run
0;1;8;0;0
1;1;8;0;1
2;1;8;0;2
3;1;8;0;3
4;1;8;0;4
5;1;;0;
6;2;9;0;0
7;2;9;0;1
8;2;9;0;2
9;2;9;0;3
10;2;9;0;4
11;2;;0;
12;3;10;0;0
13;3;10;0;1
14;3;10;0.001;2
15;3;10;0;3
16;3;10;0;4
17;3;;0.0002;
18;4;11;0.001;0
19;4;11;0;1
20;4;11;0;2
21;4;11;0;3
22;4;11;0;4
23;4;;0.0002;
24;5;12;0.001;0
25;5;12;0.001;1
26;5;12;0.001;2
27;5;12;0.001;3
28;5;12;0.001;4
29;5;;0.001;
30;6;13;0.001;0
31;6;13;0.001;1
32;6;13;0.001;2
33;6;13;0.001;3
34;6;13;0.001;4
35;6;;0.001;
36;7;14;0.001;0
37;7;14;0.001;1
38;7;14;0.001;2
39;7;14;0.001;3
40;7;14;0.001;4
41;7;;0.001;
42;8;15;0.003;0
43;8;15;0.002;1
44;8;15;0.002;2
45;8;15;0.003;3
46;8;15;0.002;4
47;8;;0.0024;
48;9;16;0.002;0
49;9;16;0.003;1
50;9;16;0.002;2
51;9;16;0.002;3
52;9;16;0.002;4
53;9;;0.0022;
54;10;17;0.01;0
55;10;17;0.01;1
56;10;17;0.01;2
57;10;17;0.01;3
58;10;17;0.01;4
59;10;;0.01;
60;11;18;0.901;0
61;11;18;0.897;1
62;11;18;0.899;2
63;11;18;0.9;3
64;11;18;0.909;4
65;11;;0.9012;
66;12;19;0.007;0
67;12;19;0.007;1
68;12;19;0.007;2
69;12;19;0.006;3
70;12;19;0.007;4
71;12;;0.0068;
72;13;20;38.099;0
73;13;20;40.41;1
74;13;20;40.588;2
75;13;20;39.881;3
76;13;20;40.86;4
77;13;;39.9676;
78;14;21;0.438;0
79;14;21;0.429;1
80;14;21;0.433;2
81;14;21;0.431;3
82;14;21;0.431;4
83;14;;0.4324;
84;15;22;0.051;0
85;15;22;0.053;1
86;15;22;0.052;2
87;15;22;0.052;3
88;15;22;0.052;4
89;15;;0.052;
90;16;24;299.772;0
91;16;;299.772;
92;17;24;47.484;0
93;17;24;47.003;1
94;17;24;47.223;2
95;17;24;48.114;3
96;17;24;46.974;4
97;17;;47.3596;
98;18;25;4.422;0
99;18;25;4.431;1
100;18;25;4.449;2
101;18;25;4.436;3
102;18;25;4.436;4
103;18;;4.4348;
104;19;27;299.722;0
105;19;;299.722;
106;20;28;299.725;0
107;20;;299.725;
108;21;28;66.593999;0
109;21;28;66.894999;1
110;21;28;67.639;2
111;21;28;68.771;3
112;21;28;68.976;4
113;21;;67.7749996;
114;22;30;299.713;0
115;22;;299.713;
116;23;31;299.719;0
117;23;;299.719;
118;24;31;267.767999;0
119;24;;267.767999;
120;25;33;299.738;0
121;25;;299.738;
122;26;33;2.739;0
123;26;33;2.744;1
124;26;33;2.746;2
125;26;33;2.708;3
126;26;33;2.789;4
127;26;;2.7452;
128;27;35;299.727;0
129;27;;299.727;
130;28;36;299.713;0
131;28;;299.713;
132;29;0;300;0
133;29;;300;
134;30;38;299.703;0
135;30;;299.703;
136;31;41;299.716;0
137;31;;299.716;
138;32;40;299.708;0
139;32;;299.708;
140;33;42;299.722;0
141;33;;299.722;
142;34;41;299.725;0
143;34;;299.725;
144;35;42;299.723;0
145;35;;299.723;
146;36;42;299.711;0
147;36;;299.711;
148;37;65;299.722;0
149;37;;299.722;
150;38;0;300;0
151;38;;300;
152;39;62;299.683;0
153;39;;299.683;
154;40;0;300;0
155;40;;300;
