;Instance;Height;Time;Run
0;1.0;8.0;0.008;0.0
1;1.0;8.0;0.0;1.0
2;1.0;8.0;0.0;2.0
3;1.0;8.0;0.0;3.0
4;1.0;8.0;0.0;4.0
5;2.0;9.0;0.001;0.0
6;2.0;9.0;0.0;1.0
7;2.0;9.0;0.0;2.0
8;2.0;9.0;0.0;3.0
9;2.0;9.0;0.0;4.0
10;3.0;10.0;0.001;0.0
11;3.0;10.0;0.0;1.0
12;3.0;10.0;0.0;2.0
13;3.0;10.0;0.0;3.0
14;3.0;10.0;0.0;4.0
15;4.0;11.0;0.002;0.0
16;4.0;11.0;0.0;1.0
17;4.0;11.0;0.0;2.0
18;4.0;11.0;0.0;3.0
19;4.0;11.0;0.0;4.0
20;5.0;12.0;0.001;0.0
21;5.0;12.0;0.0;1.0
22;5.0;12.0;0.0;2.0
23;5.0;12.0;0.0;3.0
24;5.0;12.0;0.0;4.0
25;6.0;13.0;0.002;0.0
26;6.0;13.0;0.001;1.0
27;6.0;13.0;0.001;2.0
28;6.0;13.0;0.001;3.0
29;6.0;13.0;0.001;4.0
30;7.0;14.0;0.002;0.0
31;7.0;14.0;0.001;1.0
32;7.0;14.0;0.001;2.0
33;7.0;14.0;0.001;3.0
34;7.0;14.0;0.001;4.0
