,Instance,Height,Time,Run
0,1.0,8.0,0.0,0.0
1,1.0,8.0,0.0,1.0
2,1.0,8.0,0.0,2.0
3,1.0,8.0,0.0,3.0
4,1.0,8.0,0.0,4.0
5,1.0,,0.0,
6,2.0,9.0,0.001,0.0
7,2.0,9.0,0.0,1.0
8,2.0,9.0,0.0,2.0
9,2.0,9.0,0.0,3.0
10,2.0,9.0,0.0,4.0
11,2.0,,0.0002,
12,3.0,10.0,0.001,0.0
13,3.0,10.0,0.001,1.0
14,3.0,10.0,0.0,2.0
15,3.0,10.0,0.001,3.0
16,3.0,10.0,0.001,4.0
17,3.0,,0.0008,
18,4.0,11.0,0.001,0.0
19,4.0,11.0,0.0,1.0
20,4.0,11.0,0.001,2.0
21,4.0,11.0,0.0,3.0
22,4.0,11.0,0.001,4.0
23,4.0,,0.0006,
24,5.0,12.0,0.001,0.0
25,5.0,12.0,0.0,1.0
26,5.0,12.0,0.0,2.0
27,5.0,12.0,0.0,3.0
28,5.0,12.0,0.001,4.0
29,5.0,,0.0004,
30,6.0,13.0,0.002,0.0
31,6.0,13.0,0.002,1.0
32,6.0,13.0,0.001,2.0
33,6.0,13.0,0.002,3.0
34,6.0,13.0,0.002,4.0
35,6.0,,0.0018,
36,7.0,14.0,0.001,0.0
37,7.0,14.0,0.002,1.0
38,7.0,14.0,0.001,2.0
39,7.0,14.0,0.002,3.0
40,7.0,14.0,0.002,4.0
41,7.0,,0.0016,
42,8.0,15.0,0.002,0.0
43,8.0,15.0,0.002,1.0
44,8.0,15.0,0.002,2.0
45,8.0,15.0,0.002,3.0
46,8.0,15.0,0.002,4.0
47,8.0,,0.002,
48,9.0,16.0,0.001,0.0
49,9.0,16.0,0.002,1.0
50,9.0,16.0,0.002,2.0
51,9.0,16.0,0.002,3.0
52,9.0,16.0,0.002,4.0
53,9.0,,0.0018,
54,10.0,17.0,0.007,0.0
55,10.0,17.0,0.007,1.0
56,10.0,17.0,0.007,2.0
57,10.0,17.0,0.007,3.0
58,10.0,17.0,0.007,4.0
59,10.0,,0.007,
60,11.0,18.0,10.522,0.0
61,11.0,18.0,10.515,1.0
62,11.0,18.0,10.42,2.0
63,11.0,18.0,10.515,3.0
64,11.0,18.0,10.496,4.0
65,11.0,,10.4936,
66,12.0,19.0,0.088,0.0
67,12.0,19.0,0.087,1.0
68,12.0,19.0,0.088,2.0
69,12.0,19.0,0.086,3.0
70,12.0,19.0,0.087,4.0
71,12.0,,0.0871999999999999,
72,13.0,20.0,0.007,0.0
73,13.0,20.0,0.007,1.0
74,13.0,20.0,0.007,2.0
75,13.0,20.0,0.009,3.0
76,13.0,20.0,0.007,4.0
77,13.0,,0.0073999999999999,
78,14.0,21.0,0.024,0.0
79,14.0,21.0,0.024,1.0
80,14.0,21.0,0.024,2.0
81,14.0,21.0,0.025,3.0
82,14.0,21.0,0.024,4.0
83,14.0,,0.0242,
84,15.0,22.0,0.01,0.0
85,15.0,22.0,0.01,1.0
86,15.0,22.0,0.01,2.0
87,15.0,22.0,0.01,3.0
88,15.0,22.0,0.01,4.0
89,15.0,,0.01,
90,16.0,23.0,2.941,0.0
91,16.0,23.0,2.929,1.0
92,16.0,23.0,2.95,2.0
93,16.0,23.0,3.004,3.0
94,16.0,23.0,2.913,4.0
95,16.0,,2.9474,
96,17.0,24.0,0.423,0.0
97,17.0,24.0,0.425,1.0
98,17.0,24.0,0.426,2.0
99,17.0,24.0,0.429,3.0
100,17.0,24.0,0.433,4.0
101,17.0,,0.4272,
102,18.0,25.0,0.228,0.0
103,18.0,25.0,0.224,1.0
104,18.0,25.0,0.234,2.0
105,18.0,25.0,0.226,3.0
106,18.0,25.0,0.228,4.0
107,18.0,,0.228,
108,21.0,28.0,184.579,0.0
109,21.0,28.0,220.595,1.0
110,21.0,28.0,233.999,2.0
111,21.0,28.0,235.244,3.0
112,21.0,28.0,217.646,4.0
113,21.0,,218.41260000000003,
114,23.0,30.0,17.624,0.0
115,23.0,30.0,18.985,1.0
116,23.0,30.0,17.729,2.0
117,23.0,30.0,18.044,3.0
118,23.0,30.0,18.106,4.0
119,23.0,,18.0976,
120,24.0,31.0,51.012,0.0
121,24.0,31.0,51.944,1.0
122,24.0,31.0,52.992,2.0
123,24.0,31.0,54.221,3.0
124,24.0,31.0,53.697,4.0
125,24.0,,52.7732,
126,34.0,40.0,257.269,0.0
127,34.0,0.0,300.0,1.0
128,34.0,,278.6345,
129,35.0,0.0,300.0,0.0
130,35.0,,300.0,
131,37.0,0.0,300.0,0.0
132,37.0,,300.0,
133,38.0,0.0,300.0,0.0
134,38.0,,300.0,
135,40.0,0.0,300.0,0.0
136,40.0,,300.0,
