,Instance,Height,Time,Run
0,1.0,8.0,0.0,0.0
1,1.0,8.0,0.0,1.0
2,1.0,8.0,0.0,2.0
3,1.0,8.0,0.0,3.0
4,1.0,8.0,0.0,4.0
5,1.0,,0.0,
6,2.0,9.0,0.001,0.0
7,2.0,9.0,0.002,1.0
8,2.0,9.0,0.001,2.0
9,2.0,9.0,0.001,3.0
10,2.0,9.0,0.001,4.0
11,2.0,,0.0012,
12,3.0,10.0,0.002,0.0
13,3.0,10.0,0.002,1.0
14,3.0,10.0,0.002,2.0
15,3.0,10.0,0.002,3.0
16,3.0,10.0,0.002,4.0
17,3.0,,0.002,
18,4.0,11.0,0.006,0.0
19,4.0,11.0,0.005,1.0
20,4.0,11.0,0.005,2.0
21,4.0,11.0,0.006,3.0
22,4.0,11.0,0.005,4.0
23,4.0,,0.0054,
24,5.0,12.0,0.053,0.0
25,5.0,12.0,0.051,1.0
26,5.0,12.0,0.05,2.0
27,5.0,12.0,0.051,3.0
28,5.0,12.0,0.055,4.0
29,5.0,,0.052,
30,6.0,13.0,0.06,0.0
31,6.0,13.0,0.06,1.0
32,6.0,13.0,0.059,2.0
33,6.0,13.0,0.06,3.0
34,6.0,13.0,0.065,4.0
35,6.0,,0.0608,
36,7.0,14.0,0.069,0.0
37,7.0,14.0,0.075,1.0
38,7.0,14.0,0.076,2.0
39,7.0,14.0,0.07,3.0
40,7.0,14.0,0.069,4.0
41,7.0,,0.0718,
42,8.0,15.0,1.926,0.0
43,8.0,15.0,1.912,1.0
44,8.0,15.0,1.908,2.0
45,8.0,15.0,1.919,3.0
46,8.0,15.0,1.942,4.0
47,8.0,,1.9214,
48,9.0,16.0,0.101,0.0
49,9.0,16.0,0.097,1.0
50,9.0,16.0,0.095,2.0
51,9.0,16.0,0.098,3.0
52,9.0,16.0,0.1,4.0
53,9.0,,0.0982,
54,10.0,17.0,3.05,0.0
55,10.0,17.0,2.988,1.0
56,10.0,17.0,2.954,2.0
57,10.0,17.0,2.953,3.0
58,10.0,17.0,2.962,4.0
59,10.0,,2.9814,
60,11.0,18.0,39.263,0.0
61,11.0,18.0,39.503,1.0
62,11.0,18.0,39.82,2.0
63,11.0,18.0,40.06,3.0
64,11.0,18.0,40.427,4.0
65,11.0,,39.8146,
66,12.0,19.0,1.698,0.0
67,12.0,19.0,1.68,1.0
68,12.0,19.0,1.688,2.0
69,12.0,19.0,1.687,3.0
70,12.0,19.0,1.695,4.0
71,12.0,,1.6896,
72,13.0,20.0,12.6,0.0
73,13.0,20.0,11.898,1.0
74,13.0,20.0,11.887,2.0
75,13.0,20.0,11.892,3.0
76,13.0,20.0,11.885,4.0
77,13.0,,12.0324,
78,14.0,21.0,10.501,0.0
79,14.0,21.0,10.506,1.0
80,14.0,21.0,10.647,2.0
81,14.0,21.0,10.976,3.0
82,14.0,21.0,10.584,4.0
83,14.0,,10.6428,
84,15.0,22.0,40.553,0.0
85,15.0,22.0,40.798,1.0
86,15.0,22.0,41.769,2.0
87,15.0,22.0,46.826,3.0
88,15.0,22.0,42.886,4.0
89,15.0,,42.5664,
90,16.0,0.0,300.0,0.0
91,16.0,,300.0,
92,17.0,0.0,300.0,0.0
93,17.0,,300.0,
94,19.0,0.0,300.0,0.0
95,19.0,,300.0,
96,21.0,0.0,300.0,0.0
97,21.0,,300.0,
98,22.0,0.0,300.0,0.0
99,22.0,,300.0,
100,23.0,0.0,300.0,0.0
101,23.0,,300.0,
