;Instance;Height;Time;Run
0;1;8;0.0;0.0
1;1;8;0.0;1.0
2;1;8;0.0;2.0
3;1;8;0.0;3.0
4;1;8;0.0;4.0
5;1.0;;0.0;
6;2;9;0.0;0.0
7;2;9;0.0;1.0
8;2;9;0.0;2.0
9;2;9;0.0;3.0
10;2;9;0.0;4.0
11;2.0;;0.0;
12;3;10;0.015625;0.0
13;3;10;0.0;1.0
14;3;10;0.015625;2.0
15;3;10;0.015625;3.0
16;3;10;0.0;4.0
17;3.0;;0.009375;
18;4;11;0.015625;0.0
19;4;11;0.015625;1.0
20;4;11;0.015625;2.0
21;4;11;0.015625;3.0
22;4;11;0.0;4.0
23;4.0;;0.0125;
24;5;12;0.03125;0.0
25;5;12;0.03125;1.0
26;5;12;0.046875;2.0
27;5;12;0.03125;3.0
28;5;12;0.03125;4.0
29;5.0;;0.034375;
30;6;13;0.046875;0.0
31;6;13;0.0625;1.0
32;6;13;0.078125;2.0
33;6;13;0.078125;3.0
34;6;13;0.046875;4.0
35;6.0;;0.0625;
36;7;14;0.078125;0.0
37;7;14;0.0625;1.0
38;7;14;0.109375;2.0
39;7;14;0.078125;3.0
40;7;14;0.046875;4.0
41;7.0;;0.075;
42;8;15;0.09375;0.0
43;8;15;0.0625;1.0
44;8;15;0.046875;2.0
45;8;15;0.109375;3.0
46;8;15;0.09375;4.0
47;8.0;;0.08125;
48;9;16;0.09375;0.0
49;9;16;0.078125;1.0
50;9;16;0.15625;2.0
51;9;16;0.09375;3.0
52;9;16;0.0625;4.0
53;9.0;;0.096875;
54;10;17;0.171875;0.0
55;10;17;0.359375;1.0
56;10;17;0.328125;2.0
57;10;17;0.265625;3.0
58;10;17;0.515625;4.0
59;10.0;;0.328125;
60;11;18;6.21875;0.0
61;11;18;7.796875;1.0
62;11;18;4.25;2.0
63;11;18;17.265625;3.0
64;11;18;6.890625;4.0
65;11.0;;8.484375;
66;12;19;2.390625;0.0
67;12;19;4.03125;1.0
68;12;19;1.25;2.0
69;12;19;1.515625;3.0
70;12;19;1.375;4.0
71;12.0;;2.1125;
72;13;20;0.859375;0.0
73;13;20;1.296875;1.0
74;13;20;1.265625;2.0
75;13;20;1.703125;3.0
76;13;20;1.0625;4.0
77;13.0;;1.2375;
78;14;21;3.375;0.0
79;14;21;6.0;1.0
80;14;21;3.3125;2.0
81;14;21;3.0;3.0
82;14;21;1.625;4.0
83;14.0;;3.4625;
84;15;22;2.265625;0.0
85;15;22;1.875;1.0
86;15;22;2.1875;2.0
87;15;22;1.9375;3.0
88;15;22;1.75;4.0
89;15.0;;2.003125;
90;16;23;15.890625;0.0
91;16;23;37.90625;1.0
92;16;23;71.15625;2.0
93;16;23;62.0625;3.0
94;16;23;31.65625;4.0
95;16.0;;43.734375;
96;17;24;11.546875;0.0
97;17;24;7.859375;1.0
98;17;24;6.015625;2.0
99;17;24;18.65625;3.0
100;17;24;11.796875;4.0
101;17.0;;11.175;
102;18;25;23.828125;0.0
103;18;25;13.984375;1.0
104;18;25;10.328125;2.0
105;18;25;5.421875;3.0
106;18;25;12.859375;4.0
107;18.0;;13.284375;
108;19.0;0.0;299.828125;0.0
109;19.0;;299.828125;
110;20;27;27.296875;0.0
111;20;27;109.28125;1.0
112;20;27;143.375;2.0
113;20;27;64.140625;3.0
114;20;27;35.609375;4.0
115;20.0;;75.940625;
116;21;28;101.53125;0.0
117;21;28;152.453125;1.0
118;21;28;154.1875;2.0
119;21.0;0.0;299.84375;3.0
120;21.0;;177.00390625;
121;22;29;122.53125;0.0
122;22.0;0.0;298.859375;1.0
123;22.0;0.0;300.0;2.0
124;22.0;;240.46354166666666;
125;23;30;68.984375;0.0
126;23;30;48.90625;1.0
127;23;30;45.1875;2.0
128;23;30;79.96875;3.0
129;23;30;32.40625;4.0
130;23.0;;55.090625;
131;24;31;7.15625;0.0
132;24;31;14.546875;1.0
133;24;31;22.703125;2.0
134;24;31;22.3125;3.0
135;24;31;25.828125;4.0
136;24.0;;18.509375;
137;25.0;0.0;299.875;0.0
138;25.0;;299.875;
139;26;33;191.953125;0.0
140;26.0;0.0;300.0;1.0
141;26.0;;245.9765625;
142;27;34;33.078125;0.0
143;27;34;30.390625;1.0
144;27;34;44.9375;2.0
145;27;34;19.875;3.0
146;27;34;33.921875;4.0
147;27.0;;32.440625;
148;28;35;55.015625;0.0
149;28;35;56.625;1.0
150;28;35;106.9375;2.0
151;28;35;49.921875;3.0
152;28;35;214.265625;4.0
153;28.0;;96.553125;
154;29.0;0.0;299.3125;0.0
155;29.0;;299.3125;
156;30.0;0.0;299.09375;0.0
157;30.0;;299.09375;
158;31;38;31.0;0.0
159;31;38;41.046875;1.0
160;31;38;36.40625;2.0
161;31;38;52.890625;3.0
162;31;38;38.75;4.0
163;31.0;;40.01875;
164;32.0;0.0;296.4375;0.0
165;32.0;0.0;299.984375;1.0
166;32.0;;298.2109375;
167;33;40;13.140625;0.0
168;33;40;48.125;1.0
169;33;40;56.625;2.0
170;33;40;27.0625;3.0
171;33;40;27.734375;4.0
172;33.0;;34.5375;
173;34.0;0.0;297.1875;0.0
174;34.0;0.0;299.78125;1.0
175;34.0;;298.484375;
176;35.0;0.0;299.703125;0.0
177;35.0;;299.703125;
178;36;40;152.625;0.0
179;36;40;201.90625;1.0
180;36;40;189.828125;2.0
181;36.0;0.0;300.015625;3.0
182;36.0;;211.09375;
183;37.0;0.0;299.765625;0.0
184;37.0;;299.765625;
185;38.0;0.0;299.6875;0.0
186;38.0;;299.6875;
187;39.0;0.0;299.984375;0.0
