;Instance;Height;Time;Run
0;1;8;0.015625;0.0
1;1;8;0.015625;1.0
2;1;8;0.0;2.0
3;1;8;0.015625;3.0
4;1;8;0.0;4.0
5;1.0;;0.009375;
6;2;9;0.0;0.0
7;2;9;0.015625;1.0
8;2;9;0.015625;2.0
9;2;9;0.015625;3.0
10;2;9;0.0;4.0
11;2.0;;0.009375;
12;3;10;0.03125;0.0
13;3;10;0.015625;1.0
14;3;10;0.03125;2.0
15;3;10;0.015625;3.0
16;3;10;0.03125;4.0
17;3.0;;0.025;
18;4;11;0.015625;0.0
19;4;11;0.015625;1.0
20;4;11;0.0625;2.0
21;4;11;0.03125;3.0
22;4;11;0.015625;4.0
23;4.0;;0.028125;
24;5;12;0.21875;0.0
25;5;12;0.46875;1.0
26;5;12;0.125;2.0
27;5;12;0.859375;3.0
28;5;12;0.203125;4.0
29;5.0;;0.375;
30;6;13;0.5;0.0
31;6;13;0.21875;1.0
32;6;13;0.484375;2.0
33;6;13;0.453125;3.0
34;6;13;0.546875;4.0
35;6.0;;0.440625;
36;7;14;5.5;0.0
37;7;14;0.609375;1.0
38;7;14;0.796875;2.0
39;7;14;0.46875;3.0
40;7;14;0.453125;4.0
41;7.0;;1.565625;
42;8;15;0.0625;0.0
43;8;15;0.140625;1.0
44;8;15;1.609375;2.0
45;8;15;0.15625;3.0
46;8;15;0.0625;4.0
47;8.0;;0.40625;
48;9;16;0.78125;0.0
49;9;16;1.4375;1.0
50;9;16;2.078125;2.0
51;9;16;0.34375;3.0
52;9;16;0.421875;4.0
53;9.0;;1.0125;
54;10;17;2.90625;0.0
55;10;17;9.859375;1.0
56;10;17;33.296875;2.0
57;10;17;2.0;3.0
58;10;17;8.390625;4.0
59;10.0;;11.290625;
60;11.0;0.0;299.859375;0.0
61;11.0;;299.859375;
62;12;19;2.296875;0.0
63;12;19;46.5;1.0
64;12;19;40.671875;2.0
65;12;19;27.4375;3.0
66;12;19;7.59375;4.0
67;12.0;;24.9;
68;13;20;27.296875;0.0
69;13;20;5.75;1.0
70;13;20;3.0;2.0
71;13;20;11.703125;3.0
72;13;20;3.828125;4.0
73;13.0;;10.315625;
74;14;21;34.578125;0.0
75;14;21;14.359375;1.0
76;14;21;19.90625;2.0
77;14;21;19.25;3.0
78;14;21;8.09375;4.0
79;14.0;;19.2375;
80;15;22;17.953125;0.0
81;15.0;0.0;299.984375;1.0
82;15.0;;158.96875;
83;16.0;0.0;299.953125;0.0
84;16.0;;299.953125;
85;17;24;242.375;0.0
86;17;24;264.859375;1.0
87;17.0;0.0;299.875;2.0
88;17.0;;269.0364583333333;
89;18.0;0.0;300.0;0.0
90;18.0;;300.0;
91;19.0;0.0;299.5625;0.0
92;19.0;;299.5625;
93;20.0;0.0;299.953125;0.0
94;20.0;;299.953125;
95;21.0;0.0;299.921875;0.0
96;21.0;;299.921875;
97;22.0;0.0;299.796875;0.0
98;22.0;;299.796875;
99;23.0;0.0;299.890625;0.0
100;23.0;;299.890625;
101;24.0;0.0;299.9375;0.0
102;24.0;;299.9375;
103;25.0;0.0;300.03125;0.0
104;25.0;;300.03125;
105;26.0;0.0;299.421875;0.0
106;26.0;;299.421875;
107;27.0;0.0;299.84375;0.0
108;27.0;;299.84375;
109;28.0;0.0;299.859375;0.0
110;28.0;;299.859375;
111;29.0;0.0;299.984375;0.0
112;29.0;;299.984375;
113;30.0;0.0;299.53125;0.0
114;30.0;;299.53125;
115;31;38;268.875;0.0
116;31;38;67.1875;1.0
117;31;38;132.640625;2.0
118;31.0;0.0;299.96875;3.0
119;31.0;;192.16796875;
120;32.0;0.0;299.984375;0.0
121;32.0;;299.984375;
122;33.0;0.0;299.921875;0.0
123;33.0;;299.921875;
124;34.0;0.0;299.984375;0.0
125;34.0;;299.984375;
126;35;40;115.859375;0.0
127;35;40;172.75;1.0
128;35;40;256.015625;2.0
129;35;40;79.703125;3.0
130;35;40;38.96875;4.0
131;35.0;;132.659375;
132;36;40;80.28125;0.0
133;36;40;96.9375;1.0
134;36;40;22.859375;2.0
135;36;40;110.859375;3.0
136;36.0;0.0;300.015625;4.0
137;36.0;;122.190625;
138;37.0;0.0;300.015625;0.0
139;37.0;;300.015625;
140;38.0;0.0;300.015625;0.0
141;38.0;;300.015625;
142;39.0;0.0;300.015625;0.0
143;39.0;;300.015625;
144;40.0;0.0;300.03125;0.0
145;40.0;;300.03125;
